Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
Button/Name/CarrierBomberRemove;Carrier Bomber Remove;Бомбардировщик авианосца - удаление;Träger - Bomber, entfernen;Eliminar bombardero de portanaves;Portanaves - Bombardero - Quitar;Bombardier de porte-nefs - Supprimer;Portastormo - Rimuovi Bombardiere;우주모함 폭격기 제거;Lotniskowiec, Bombowiec, Usuń;Transportadora - Remover Bombardeiro;Carrier Bomber Remove;航空母艦 - 移除轟炸機
Button/Name/CarrierHyperjump;Warp Field;Поле искривления;Warpfeld;Campo de distorsión;Campo de transposición;Champ de transfert;Campo dimensionale;차원장;Pole nadprzestrzenne;Campo de Dobra;折跃力场;空間力場
Button/Name/CarrierInterceptorBombActive;Bombing Run;Бомбометание;Bomberangriff;Bombardeo;Bombardeo;Raid aérien;Bombardamento a Tappeto;폭격 비행;Nalot bombowy;Passagem de Bombardeio;轰炸;出動轟炸
Button/Name/CarrierPassive;Carrier;Авианосец;Träger;Portanaves;Portanaves;Porte-nefs;Portastormo;우주모함;Lotniskowiec;Transportadora;航母;航空母艦
Button/Name/CarrierPhotonBombs;Photon Bombs;Фотонные бомбы;Photonenbomben;Bombas de fotones;Bombas de fotones;Bombes à photons;Bombe fotoniche;광자 폭탄;Bomby fotonowe;Bombas de Fótons;光子炸弹;光子炸彈
Button/Name/CarrierRepairDroneHeal;Repair;Ремонт;Reparieren;Reparar;Reparar;Réparer;Ripara;수리;Naprawa;Consertar;修理;修復
Button/Name/CarrierTaldarimMothership;Warp In Mothership;Вызвать материнский корабль;Mutterschiff heranwarpen;Invocar nave nodriza;Transposicionar Nave nodriza;Transférer un vaisseau mère;Evoca Nave madre;모선 소환;Przyzwij statek-matkę;Transdobrar Nave-mãe;折跃母舰;躍傳聖母艦
Button/Name/CarryCarcass;Carry Carcass;Перенос туши;Kadaver tragen;Llevar carroña;Acarrear cadáver;Transporter la carcasse;Trasporta carcassa;시체 운반;Zanieś Zwłoki;Carregar Carcaça;搬运尸体;運送屍體
Button/Name/CelestialBeam;Celestial Beam;Небесный луч;Stellarstrahl;Haz celestial;Rayo celestial;Rayon céleste;Raggio celestiale;천상의 광선;Niebiański Promień;Feixe Celestial;天神光束;星穹光束
Button/Name/CellularFissionUpgrade;Cellular Fission;Клеточное дробление;Zellspaltung;Fisión celular;Fisión celular;Division cellulaire;Scissione cellulare;세포 분열;Fuzja komórkowa;Fissão Celular;细胞裂变;細胞分裂
Button/Name/CentrifugalHooksUpgrade;Centrifugal Hooks;Круговые зацепы;Zentrifugalhaken;Ganchos centrífugos;Ganchos centrífugos;Crochets centrifuges;Uncini frenetici;원심 고리;Pazury dośrodkowe;Ganchos Centrífugos;环心镰钩;離心蟲鉤
Button/Name/CerberusMines;Cerberus Mine;Мина «Цербер»;Cerberus-Mine;Mina cerbero;Mina Cerbero;Mines Cerbère;Mina Cerbero;케르베로스 지뢰;Mina „Cerber”;Mina Cerberus;地狱犬地雷;地獄犬詭雷
Button/Name/ChainLightning;Chain Lightning;Цепная молния;Kettenblitz;Cadena de relámpagos;Relámpagos en cadena;Chaîne d’éclairs;Catena di fulmini;연쇄 번개;Seryjne błyskawice;Cadeia de relâmpagos;闪电链;連鎖閃電
Button/Name/ChainReaction;Chain Reaction;Цепная реакция;Kettenreaktion;Reacción en cadena;Reacción en cadena;Réaction en chaîne;Reazione a catena;연쇄반응;Reakcja Łańcuchowa;Reação em Cadeia;连锁反应;連鎖反應
Button/Name/ChangeFacing;Change Facing;Изменить направление взгляда;Ausrichtung ändern;Cambiar dirección;Cambiar orientación;Changer l'orientation;Cambio orientamento;방향 바꾸기;Zmień ustawienie;Mudar Posicionamento;改变朝向;轉向
Button/Name/ChangeShrineDepleted;Change Shrine Depleted;Состояние источника: выработан;Schrein ändern - erschöpft;Cambiar santuario a agotado;Cambiar sagrario - Agotado;Passer le statut du sanctuaire à épuisé;Altare - Modifica a esaurito;성소 고갈로 변경;Zmień kapliczkę, Wyczerpana;Mudar Santuário Esgotado;将圣坛变为枯竭;變更聖殿 - 已枯竭
Button/Name/ChangeShrineProtoss;Protoss Capped;Запечатано протоссами;Protoss - Unerschlossen;Sellado por los protoss;Protoss limitado;Bouclé par les Protoss;Copertura protoss;프로토스 봉인;Protosi - osiągnięto limit;Protoss coberto;星灵已达上限;由神族封閉
Button/Name/ChangeShrineTerran;Terran Capped;Запечатано терранами;Terraner - Unerschlossen;Sellado por los terran;Terran limitado;Bouclé par les Terrans;Copertura terran;테란 봉인;Terranie - osiągnięto limit;Terrano coberto;人类已达上限;由人類封閉
Button/Name/ChangeShrinetoFlowing;Change Shrine to Flowing;Состояние источника: действует;"Schrein ändern zu ""Fließend""";Cambiar santuario a en flujo;"Cambiar sagrario a ""Cargado""";Passer le statut du sanctuaire à actif;Altare - Modifica a disponibile;성소 흐름으로 변경;Zmień kapliczkę na Z przepływem;Mudar Altar para Flutuando;将圣坛变为流动状;將聖殿變為流動
Button/Name/ChargeAncientXelNagaArtifact;Charge Ancient Xel'Naga Artifact;Зарядить древний артефакт зел-нага;Uraltes Xel'Naga-Artefakt aufladen;Cargar artefacto Xel'Naga antiguo;Carga - Artefacto Xel'Naga antiguo;Charger Artéfact Xel’Naga Ancien;Carica artefatto xel'naga;고대 젤나가 유물 충전;Naładuj starożytny artefakt xel'naga;Carregar Artefato Xel’Naga Ancestral;充能古代萨尔纳加神器;充能的古老薩爾納加神器
Button/Name/ChargedCannon;Charged Cannon;Заряженное орудие;Aufgeladene Kanone;Cañón cargado;Cañón cargado;Canon chargé;Cannone Caricato;충전된 포;Naładowane działo;Canhão Carregado;充能激光炮;充能加農砲
Button/Name/ChitinousPlating;Chitinous Plating;Хитиновый панцирь;Chitinpanzer;Coraza quitinosa;Coraza quitinosa;Armure chitineuse;Rivestimento chitinoso;키틴질 장갑;Powłoka chitynowa;Revestimento Quitinoso;骨板;幾丁化甲殼
Button/Name/ChomperBeastEatMeat;Eat Meat;Поедание мяса;Fleisch fressen;Comer carne;Comer carne;Manger la viande;Consuma Carne;고기 섭취;Jedz mięso;Comer Carne;食肉;吃肉
Button/Name/CircleofDeathOff;Circle of Death (Off);Круг смерти (вкл.);Kreis des Todes (Aus);Círculo de muerte (activado);Círculo de muerte (Desactivado);Cercle de mort (désactivé);Disattiva Circolo Mortale;죽음의 원 (끄기);Krąg śmierci (Wył.);Círculo da Morte (Desligado);Circle of Death (Off);死亡之環（關閉）
Button/Name/CircleofDeathOn;Circle of Death (On);Круг смерти (выкл.);Kreis des Todes (EIN);Círculo de muerte (desactivado);Círculo de muerte (Activado);Cercle de mort (activé);Attiva Circolo Mortale;죽음의 원 (켜기);Krąg śmierci (Wł.);Círculo da Morte (Ligado);Circle of Death (On);死亡之環（開啟）
Button/Name/ClarityOfPurposeAura;Clarity of Purpose;Ясная цель;Klare Ziele;Claridad de propósito;Claridad de propósito;Clarté de l’intention;Intento risoluto;명확한 목표;Jasność celu;Clareza de Propósito;明确目标;目的明確
Button/Name/ClassicQueen;Birth Classic Queen;Породить стандартную королеву;Klassische Königin erschaffen;Crear reina clásica;Crear Reina clásica;Engendrer une reine classique;Genera Regina classica;고전 여왕 생성;Powij królową;Criar Rainha Clássica;出生旧版后虫;孵化經典后蟲
Button/Name/CloakField;Cloak Field;Маскировочное поле;Tarnfeld;Campo de invisibilidad;Campo de camuflaje;Champ de camouflage;Campo di occultamento;은폐장;Pole maskujące;Campo de invisibilidade;隐形力场;匿蹤力場
Button/Name/CloakOnBanshee_Raynor;Cloak;Маскировка;Tarnung;Invisibilidad;Camuflar;Camouflage;Occultamento;은폐;Maskuj;Camuflagem;隐形;匿蹤
Button/Name/CloakOnBattlecruiser;Cloak;Маскировка;Tarnen;Invisibilidad;Camuflar;Camouflage;Occultamento;은폐;Maskowanie;Camuflagem;隐形;匿蹤
Button/Name/CloakOnFlagship;Cloak On Flagship;Маскировка флагмана;Tarnung auf Flaggschiff;Buque insignia invisible;Nave insignia camuflada;Vaisseau-amiral - Camouflage activé;Occultamento su Ammiraglia;기함 은폐;Maskowanie okrętu flagowego;Nau Capitânia com Camuflar;隐身开启旗舰;旗艦匿蹤
Button/Name/CloakOnLiberator;Cloak;Маскировка;Tarnung;Invisibilidad;Camuflaje;Camouflage;Occultamento;은폐;Maskowanie;Camuflagem;隐形;匿蹤
Button/Name/CloakOnNova;Cloak;Маскировка;Tarnen;Invisibilidad;Camuflaje;Camouflage;Occultamento;은폐;Maskowanie;Camuflar;隐形;匿蹤
Button/Name/CloakOnPredator;Cloak On Predator;«Хищник» - маскировка;Tarnung auf Predator;Invisibilidad de depredador;Depredador camuflado;Prédateur - camouflage activé;Occultamento su Predator;약탈자 은신;Maskowanie predatora;Camuflagem ligada Predador;掠食者隐形;匿蹤 - 啟動 - 獵殺者
Button/Name/CloakOnReaper;Permanently Cloaked;Постоянная маскировка;Dauerhaft getarnt;Permanentemente invisible;Camuflaje permanente;Toujours camouflé;Occultamento permanente;영구 은폐;Stałe maskowanie;Camuflagem Permanente;永久隐形;永久匿蹤
Button/Name/CloakOnSpectre;Cloak;Маскировка;Tarnen;Invisibilidad;Camuflar;Camoufler;Occultamento;은폐;Maskowanie;Camuflar;隐形;匿蹤
Button/Name/ClusterNovaResearchLocked;Artifact Enhancement: Cluster Nova;Дар артефакта: серия взрывов;Artefaktverbesserung: Splitternova;Mejora de artefacto: nova de racimo;Mejora de Artefacto: Nova de cúmulos;Amélioration d’artéfact : Novas naines;Potenziamento artefatto: Supernova globulare;유물 강화: 집속 폭발;Artefaktowe wzmocnienia: Rozdzielny rozbłysk;Aprimoramento de Artefato: Nova de Fragmentação;神器强化：集束新星;神器強化：集束光球
Button/Name/ColarionDragoonBattleShout;Battle Shout;Боевой крик;Schlachtruf;Grito de guerra;Grito de batalla;Cri de guerre;Grido di battaglia;전투의 외침;Okrzyk Bojowy;Grito de Batalha;战斗怒吼;戰鬥怒吼
Button/Name/ColonyInfestation;Colony Infestation;Заражение колонии;Kolonie - Verseuchung;Infestación de la colonia;Infestación de colonia;Contamination de la colonie;Infestazione colonia;거주지 감염;Infekcja kolonii;Infestação da colônia;移民地感染;殖民地感染
Button/Name/ColossusIceBeam;Chronal Distortion;Хроноискажение;Temporale Verzerrung;Distorsión cronal;Cronodistorsión;Entrave temporelle;Alterazione temporale;시간 왜곡;Zakłócenie Temporalne;Distorção Temporal;时空扭曲;時間扭曲
Button/Name/ColossusPassive;Colossus;Колосс;Koloss;Coloso;Coloso;Colosse;Colosso;거신;Kolos;Colosso;巨像;巨像
Button/Name/ColossusPurifier;Warp in Colossus;Вызвать колосс;Koloss heranwarpen;Invocar coloso;Transposicionar Coloso;Transférer un Colosse;Evoca Colosso;거신 소환;Przyzwij kolosa;Transdobrar Colosso;折跃巨像;躍傳巨像
Button/Name/ColossusTaldarim;Warp In Wrathwalker | Warp in Wrathwalker;Вызвать странника гнева;Zornbringer heranwarpen;Invocar caminante de cólera;Transposicionar Trotafurias;Transférer un tégénaire;Evoca Ciclope;분노수호자 소환;Przyzwij wędrowca otchłani;Transdobrar Furiante;折跃天罚行者;躍傳怒行者
Button/Name/CombatDropLocked;Combat Drop;Боевой десант;Landetruppen;Entrega de combate;Cápsula de combate;Largage de combat;Capsula da combattimento;전투 투하;Zrzut Bojowy;Posicionamento de Combate;战斗空投;戰鬥快遞
Button/Name/CombatShield;Combat Shield;Боевой щит;Kampfschild;Escudo de combate;Escudo de combate;Bouclier de combat;Scudo da combattimento;전투 방패;Tarcza bojowa;Escudo de combate;防暴护盾;戰鬥盾牌
Button/Name/CommandCenterOrbRelay;Build Command Center with Orbital Relay;Построить командный центр с космической антенной;Kommandozentrale mit Orbitalrelais bauen;Construir centro de mando con conexión orbital;Construir Centro de mando con Control orbital;Construire un Centre de commandement avec un relais orbital;Costruisci Centro di comando con Ripetitore orbitale;궤도 중계기 있는 사령부 건설;Stwórz centrum dowodzenia z przekaźnikiem orbitalnym;Construir Central de comando com Retransmissor orbital;建造带有轨道中继技术的指挥中心;建造擁有星軌傳遞科技的指揮中心
Button/Name/CommanderPrestigeAbathurBrutaliskLocked;Evolve to Brutalisk;Мутировать в бруталиска;Zu Brutalisk morphen;Evolucionar en brutalisco;Evolucionar a Brutalisco;Transformer en brutalisk;Trasforma in Brutalisca;브루탈리스크로 진화;Ewoluuj w brutaliska;Evoluir Brutalisca;进化为莽兽;進化成殘暴蟲
Button/Name/CommanderPrestigeAbathurLeviathanLocked;Evolve to Leviathan;Мутировать в левиафана;Zum Leviathan entwickeln;Evolucionar en leviatán;Evolucionar a Leviatán;Transformer en léviathan;Trasforma in Leviatano;거대괴수로 진화;Ewoluuj w lewiatana;Evoluir para Leviatã;进化为利维坦;進化成利維坦
Button/Name/CommanderPrestigeAlarakMechBuff;Reliquary of Souls;Реликварий душ;Reliquiar der Seelen;Relicario de almas;Relicario de Almas;Reliquaire des âmes;Reliquiario delle anime;영혼의 성물함;Relikwiarz Dusz;Relicário de Almas;灵魂之匣;靈魂聖匣
Button/Name/CommanderPrestigeArtanisGuardianShellLocked;Guardian Shell;Спасительный щит;Wächterhülle;Escudo guardián;Coraza protectora;Cuirasse protectrice;Guscio guardiano;수호 보호막;Powłoka Obronna;Carapaça Protetora;守护之壳;守護光盾
Button/Name/CommanderPrestigeArtanisOrbitalStrikesPeriodicDamage;Free Radicals;Свободные радикалы;Freie Radikale;Radicales libres;Radicales libres;Radicaux libres;Radicali liberi;자유 에너지 방출;Darmowi Radykałowie;Radicais Livres;自由激进;自由基
Button/Name/CommanderPrestigeDehakaPackLeadersRetreat;Make Way for the King;Дорогу королю;Macht Platz für den König;Abrid paso al rey;Abran paso al rey;Laissez passer le roi;Fate largo al re;길을 비켜라 왕께서 납신다;Przejście dla Króla;Abram Caminho Para o Rei;为陛下让路;讓位於王
Button/Name/CommanderPrestigeKaraxChronoBoostLocked;Chrono Boost;Темпоральное ускорение;Zeitschleife;Aceleración cronos;Cronoimpulso;Poussée temporelle;Accelerazione temporale;시간 증폭;Zagięcie czasoprzestrzeni;Reforço Temporal;时空提速;超時空加速
Button/Name/CommanderPrestigeKaraxChronoFieldLocked;Chrono Field;Темпоральное поле;Zeitschleifenfeld;Campo cronos;Cronoproducción;Champ temporel;Campo temporale;시간장;Pole Czasoprzestrzenne;Campo Temporal;提速力场;超時空力場
Button/Name/CommanderPrestigeKaraxChronoWaveLocked;Chrono Wave;Темпоральная волна;Zeitschleifenwelle;Onda cronos;Multicrono;Vague temporelle;Onda temporale;시간의 파도;Fala Czasu;Onda Temporal;时空波动;超時空波動
Button/Name/CommanderPrestigeKaraxKhaydarinMonolithLocked;Khaydarin Monolith;Кайдариновый монолит;Khaydarin-Monolith;Monolito khaydarin;Monolito khaydarín;Monolithe Khaydarin;Monolite Khaydarin;케이다린 초석;Monolit khaydarinowy;Monólito Khaydarin;凯达琳巨石;凱達林水晶碑
Button/Name/CommanderPrestigeKaraxOptimizedAttackSpeedResearchLocked;Research Optimized Ordnance;Разработать улучшенное снабжение;Optimierte Geschütze erforschen;Investigar artillería optimizada;Investigar Ordenanza optimizada;Rechercher Artillerie optimisée;Ricerca Munizioni ottimizzate;포 최적화 연구;Opracuj optymalizację uzbrojenia;Pesquisar Artilharia Otimizada;研究军械优化;研發軍械改良
Button/Name/CommanderPrestigeKaraxPhotonCannonBuildLocked;Warp In Photon Cannon;Вызвать фотонную пушку;Photonenkanone heranwarpen;Invocar cañón de fotones;Transposicionar Cañón de fotones;Transférer un canon à photons;Evoca Cannone fotonico;광자포 소환;Przyzwij działo fotonowe;Transdobrar Canhão de Fótons;折跃光子炮台;躍傳光子加農砲
Button/Name/CommanderPrestigeKaraxPhotonCannonLocked;Photon Cannon;Фотонная пушка;Photonenkanone;Cañón de fotones;Cañón de fotones;Canon à photons;Cannone fotonico;광자포;Działo fotonowe;Canhão de Fótons;光子炮台;光子加農砲
Button/Name/CommanderPrestigeKerriganNydusWormBuildLocked;Mutate into Nydus Network;Мутировать в сеть нидуса;Zu Nydusnetzwerk mutieren;Mutar en red nydus;Mutar en Red Nydus;Muter en réseau de Nydus;Muta in Rete Nydus;땅굴망으로 변이;Mutuj w sieć nydusową;Mutação em Rede Nydus;变异为虫道网络;突變為蟲殖地網
Button/Name/CommanderPrestigeNovaAssaultModeLocked;Assault Mode;Штурмовой режим;Kampfausrüstung;Modo asalto;Modo asalto;Mode Assaut;Assetto d'assalto;돌격 모드;Tryb Szturmowy;Modo Assalto;突击模式;突擊模式
Button/Name/CommanderPrestigeNovaGriffinAirstrikeLocked;Griffin Airstrike;Бомбардировка «Грифона»;Griffin-Luftschlag;Ataque aéreo del Grifo;Ataque aéreo del Grifonte;Frappe aérienne du Griffon;Attacco aereo;그리핀 공습;Nalot Gryfa;Ataque Aéreo do Griffin;狮鹫号空袭;獅鷲艦空襲
Button/Name/CommanderPrestigeNovaHoloDecoyLocked;Holo Decoy;Голографический двойник;Holoattrappe;Señuelo holográfico;Holoseñuelo;Hologramme;Illusione olografica;홀로그램 분신;Holowabik;Clone Holográfico;全息诱饵;投影誘餌
Button/Name/CommanderPrestigeNovaShotgunResearchLocked;Research Infernal Projectiles;Разработать инфернальные снаряды;Infernium-Projektile erforschen;Investigar proyectiles infernales;Investigar Proyectiles infernales;Rechercher Projectiles infernaux;Ricerca Proiettili Inferno;지옥불 발사체 연구;Opracuj pociski Diablo;Pesquisar Projéteis Infernais;研究狱火爆弹;研發獄火爆彈
Button/Name/CommanderPrestigeNovaStanceDanceLocked;Stance Dance;Универсальный солдат;Schnellrekonfiguration;Cambio de equipo;Postura de baile;Alternance tactique;Postura di danza;날쌘 전환;Zmiana Trybu;Troca de Postura;随机应变;隨機應變
Button/Name/CommanderPrestigeRaynorMULELocked;Calldown: MULE;Запрос: МУЛ;M.U.L.E. anfordern;Solicitar: MULA;Llamado: EMUL;Envoi : MULE;Richiedi MULE;투하: 지게로봇;Wezwanie: MUŁ;Chamada: MULE;轨道空投：矿骡;空投：礦騾
Button/Name/CommanderPrestigeStukovBansheeTransportLoad;Load;Загрузить;Einladen;Cargar;Cargar;Charger;Carica;들이기;Załadowanie;Carregar;装载;裝載
Button/Name/CommanderPrestigeStukovBansheesDeploy;Remote Deployment;Удаленное развертывание;Fernausladen;Despliegue remoto;Despliegue remoto;Déploiement à distance;Schieramento a distanza;원격 투하;Zdalny desant;Lançamento Remoto;远程部署;遠端部署
Button/Name/CommanderPrestigeStukovInfestedCompoundLocked;Build Infested Colonist Compound;Построить зараженный жилой модуль;Verseuchtes Koloniegebäude bauen;Construir complejo de colonos infestado;Construir Complejo de colonos infestados;Construire un baraquement contaminé;Costruisci Complesso coloniale infestato;감염된 거주민 수용소 건설;Stwórz zainfekowaną bazę kolonistów;Construir Complexo de Colonos Infestado;建造被感染的移民营;建造受感染的殖民基地
Button/Name/CommanderPrestigeSwannConcentratedBeamLocked;Concentrated Beam;Сфокусированный луч;Konzentrierter Strahl;Haz concentrado;Rayo concentrado;Rayon concentré;Raggio concentrato;집중 광선;Skupiona Wiązka;Feixe Concentrado;汇聚射线;集束光線
Button/Name/CommanderPrestigeSwannPulseCannonLocked;Pulse Cannon;Импульсная пушка;Pulskanone;Cañón de pulsos;Cañón de pulso;Canon à impulsions;Cannone a impulsi;파동포;Działo Impulsowe;Canhão de Pulso;脉冲炮;脈衝加農砲
Button/Name/CommanderPrestigeTychusBarrageLocked;Barrage;Артобстрел;Sperrfeuer;Descarga;Andanada;Barrage;Sbarramento;연발 포격;Ogień zaporowy;Barragem;巨炮乱射;彈幕砲擊
Button/Name/CommanderPrestigeTychusBigRedButtonResearchLocked;Research Big Red Button;Разработать «Большую красную кнопку»;Großer roter Knopf erforschen;Investigar gran botón rojo;Investigar Gran botón rojo;Rechercher Gros bouton rouge;Ricerca Pulsantone rosso;커다란 빨간색 버튼 연구;Opracuj Wielki Czerwony Przycisk;Pesquisar Grande Botão Vermelho;研究红色按钮;研發限制解除
Button/Name/CommanderPrestigeTychusUltFirebatLocked;Purchase XCMC-670 Combat Suit;Приобрести боевой скафандр ХСМС-670;XCMC-670 Kampfanzug kaufen;Adquirir traje de combate XCMC-670;Comprar Traje de combate XCMC-670;Acheter l’armure de combat XCMC-670;Acquista Tuta da combattimento XCMC-670;XCMC-670 전투복 구매;Kup Kombinezon Bojowy XCMC-670;Comprar Traje de Combate XCMC-670;购买XCMC-670型战斗装甲;購買XCMC-670戰鬥套裝
Button/Name/CommanderPrestigeTychusUltGhostLocked;Purchase Type-88 Persuader;Приобрести «Убеждатор-88»;Type-88 Persuader kaufen;Adquirir persuasor tipo 88;Comprar Persuasor de tipo 88;Acheter l’Argument type 88;Acquista Persuasore modello 88;88형 설득자 구매;Kup Motywator Model 88;Comprar Persuasor Tipo-88;购买88式劝服者;購買88式說服者頭盔
Button/Name/CommanderPrestigeTychusUltHercLocked;Purchase M.A.L.I.C.E. Ammunition;Приобрести снаряды «ЗЛОБА»;Kollisionsmunition kaufen;Adquirir munición M.A.L.I.C.I.A.;Comprar Munición M.A.L.I.C.I.A.;Acheter les munitions M.AL.I.C.E.;Acquista Munizioni M.A.L.E.F.I.C.;악의적인 탄약 구매;Kup Amunicję A.G.R.E.S.O.R.;Comprar Munição O.U.S.A.D.A.;购买M.A.L.I.C.E.弹药;購買M.A.L.I.C.E.彈藥補給
Button/Name/CommanderPrestigeTychusUltMarauderLocked;Purchase Hammer Munitions;Приобрести гранаты «Молот»;Hammermunition kaufen;Adquirir munición martillo;Comprar Municiones Maza;Acheter les munitions contondantes;Acquista Munizioni Hammer;망치 탄약 구매;Kup Amunicję Młot;Comprar Munições Hammer;购买重锤牌爆射弹;購買巨錘彈
Button/Name/CommanderPrestigeTychusUltMedicLocked;Purchase XM-77 Matrix Generator;Приобрести генератор матрицы ХМ-77;Matrixgenerator XM-77 kaufen;Adquirir generador de matriz XM-77;Comprar Generador de matriz XM-77;Acheter le générateur matriciel XM-77;Acquista Generatore di matrice XM-77;XM-77 매트릭스 생성기 구매;Kup Generator Matrycy XM-77;Comprar Gerador de Matriz XM-77;购买XM-77型矩阵发生器;購買XM-77矩陣產生器
Button/Name/CommanderPrestigeTychusUltReaperLocked;Purchase Enhanced Hostilities Kit;Приобрести улучшенный боекомплект;Verbesserte Kampfhandlungsausrüstung kaufen;Adquirir kit de hostilidades mejoradas;Comprar Kit de hostilidades mejorado;Acheter le kit d’aggravation des hostilités;Acquista Dotazione da scontro potenziata;개선된 교전 장비 구매;Kup Zestaw Ulepszeń Bojowych;Comprar Kit de Hostilidade Aprimorado;购买强化版爆破套件;購買強化戰意套件
Button/Name/CommanderPrestigeTychusUltSpectreLocked;Purchase N3 Networking;Приобрести сеть N3;N3-Netz kaufen;Adquirir red N3;Comprar Conexión N3;Acheter la mise en réseau N3;Acquista Rete N3;N3 네트워킹 구매;Kup Sieć N3;Comprar Rede N3;购买N3网络;購買N3網路連結
Button/Name/CommanderPrestigeTychusUltTychusLocked;Purchase SureShot Networked Helmet;Приобрести сетевой шлем «Меткий стрелок»;Bullseye-Gefechtshelm kaufen;Adquirir casco de puntería potenciada;Comprar Casco en red TiroCertero;Acheter le casque Gâchette en réseau;Acquista Elmetto neurale;정밀사격 네트워크 헬멧 구매;Kup Sieciowy Hełm Celowniczy;Comprar Capacete Conectado TiroCerto;购买神射手联网头盔;購買射必中連網頭盔
Button/Name/CommanderPrestigeTychusUltWarhoundLocked;Purchase Umojan Turret Frame;Приобрести умоджанский турельный каркас;Umojanisches Geschützturmgerüst kaufen;Adquirir estructura para torreta de Umoja;Comprar Marco de torreta umojana;Acheter le châssis de tourelle umojan;Acquista Telaio torrette umojano;우모자 포탑 프레임 구매;Kup Umojański Korpus Wieżyczki;Comprar Estrutura de Torre Umojana;购买尤摩扬炮台架;購買尤摩捷砲台機架
Button/Name/CommanderPrestigeVorazunRecallLocked;Recall;Телепортация;Rückruf;Llamar;Repliegue;Rappel;Richiamo;소환;Przywołanie;Chamado;召回;召回
Button/Name/CommanderPrestigeZagaraBirthingChamberLocked;Birthing Chamber;Камера рождения;Brutkammer;Cámara de incubación;Cámara de incubación;Chambre de couvaison;Camera generativa;부화실;Komora Rodna;Câmara de Nascimento;哺育腔;孵化室
Button/Name/CommanderPrestigeZagaraHeroicFortitudeResearchLocked;Evolve Heroic Fortitude;Развить исключительную стойкость;Heroische Stärke entwickeln;Evolucionar fortaleza heroica;Evolucionar Fortaleza heroica;Évolution Vigueur héroïque;Evolvi Tempra eroica;영웅의 인내 진화;Wyewoluuj Heroiczną Wytrzymałość;Evoluir Fortitude Heroica;进化英勇刚毅;進化英勇耐力
Button/Name/CommanderPrestigeZagaraMaxSupplyScourgeSpawn;Birthing Roost;Гнездовье рождения;Brutnest;Nido de incubación;Nido de incubación;Perchoir de couvaison;Nido generativo;부화둥지;Gniazdo rodne;Ninho de Nascimento;哺育栖地;產蟲巢穴
Button/Name/CommanderPrestigeZagaraMedusaBladesResearchLocked;Evolve Medusa Blades;Развить лезвия медузы;Medusaklingen entwickeln;Evolucionar hojas medusa;Evolucionar Cuchillas Medusa;Évolution Lames méduses;Evolvi Lame Medusa;메두사 칼날 진화;Wyewoluuj Ostrza Meduzy;Evoluir Lâminas de Medusa;进化美杜莎之刃;進化梅杜莎之刃
Button/Name/CommanderPrestigeZagaraZagaraDeepTunnel;Deep Tunnel;Глубинный тоннель;Tiefentunnel;Túnel profundo;Deep Tunnel;Tunnel profond;Rintanamento profondo;굴 파기;Głęboki Przekop;Túnel Profundo;深槽虫道;深度挖掘
Button/Name/CommanderPrestigeZeratulVoidSeekerSummon;Deploy Void Seeker;Вызвать «Искатель Пустоты»;Leerensucher herbeirufen;Desplegar Buscador de Vacío;Desplegar Cazador del Vacío;Déployer le Chercheur du Vide;Schiera Cercatore del Vuoto;공허의 구도자 배치;Przyzwanie Poszukiwacza Otchłani;Lançar Exploradora;部署虚空寻觅者号;部署虛空追尋者
Button/Name/CommanderSwannImprovedSCVs;Advanced Construction;Ускоренное строительство;Fortgeschrittenes Bauen;Construcción avanzada;Construcción avanzada;Construction avancée;Costruzione avanzata;협동 건설;Zaawansowane Wznoszenie Budowli;Construção avançada;高级建造;進階建造
Button/Name/CommanderVorazunCloakedUnitsDamageBoost;Strike from the Shadows;Удар из тени;Angriff aus den Schatten;Ataque desde las sombras;Ataque desde las sombras;Frapper depuis les ombres;Assalto dall'ombra;어둠 속의 습격;Atak z Mroku;Ataque das trevas;阴影黯灭;從暗影中出擊
Button/Name/CommanderVorazunDarkArchonPassiveLocked;Dark Archon;Темный архонт;Dunkler Archon;Arconte tétrico;Arconte oscuro;Archonte noir;Arconte oscuro;암흑 집정관;Mroczny archont;Arconte das Trevas;黑暗执政官;黑暗執政官
Button/Name/CommanderVorazunImprovedShieldRegeneration;Veil of Shadows;Завеса теней;Schleier der Schatten;Velo de sombras;Velo de las sombras;Voile d’ombres;Velo dell'ombra;그림자 장막;Zasłona Cieni;Véu das Sombras;暗影之幕;暗影之幕
Button/Name/ConcussiveGrenadeGrenadier;Concussive Shells;Фугасные гранаты;Schockmunition;Proyectiles conmocionantes;Cartuchos de concusión;Obus incapacitants;Granate a concussione;충격탄;Pociski ogłuszające;Cápsulas de concussão;震荡弹;震撼彈
Button/Name/Confusion;Confusion;Смятение;Verwirrung;Confusión;Confusión;Confusion;Confusione;혼돈;Zamęt;Confusão;神经错乱;混亂
Button/Name/ConstructingNuclearPayload;Constructing Nuclear Payload;Сборка ядерной боеголовки;Nuklearsprengkopf bauen;Construyendo carga nuclear;Construcción de carga nuclear;Construction de convoi nucléaire;Costruzione Testata nucleare in corso;핵탄두 생산중;Budowa ładunku jądrowego;Construindo Carga Nuclear;建造核弹头;核彈建造中
